brand;code;series;model;kind;size;description
paiste;CY0001912817;Color Sound 900;Black Heavy Crash;crash;17;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912818;Color Sound 900;Black Heavy Crash;crash;18;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912819;Color Sound 900;Black Heavy Crash;crash;19;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001912820;Color Sound 900;Black Heavy Crash;crash;20;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931416;Color Sound 900;Blue Crash;crash;16;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931417;Color Sound 900;Blue Crash;crash;17;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931418;Color Sound 900;Blue Crash;crash;18;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931419;Color Sound 900;Blue Crash;crash;19;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001931420;Color Sound 900;Blue Crash;crash;20;Medium bright, full-bodied with warm undertones. Wide range, clean mix. Balanced, responsive feel. Full, round crash sound with punch foruniversal applications.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932816;Color Sound 900;Blue Heavy Crash;crash;16;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932817;Color Sound 900;Blue Heavy Crash;crash;17;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932818;Color Sound 900;Blue Heavy Crash;crash;18;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
paiste;CY0001932819;Color Sound 900;Blue Heavy Crash;crash;19;Medium bright, full-bodied, solid. Wide range, clean mix. Giving feel. Powerful crash with meaty attack. Well suited for assertive yet musicalaccents in loud music styles.While Color Sound 900 feature essentially the same sound and function as the 900 Series, the color coating causes a slightly drier sound,shortens the sustain a bit, and results in a more focused attack.
