brand;code;series;model;kind;size;description
sabian;20816CS;AA;Mini Holy China;china;8;An exaggerated high profile, mini hole pattern and raw bell add up to more white noise, trash and cut than any other cymbal its size.
sabian;21016CS;AA;Mini Holy China;china;10;An exaggerated high profile, mini hole pattern and raw bell add up to more white noise, trash and cut than any other cymbal its size.
sabian;21216CS;AA;Mini Holy China;china;12;An exaggerated high profile, mini hole pattern and raw bell add up to more white noise, trash and cut than any other cymbal its size.
sabian;21616;AA;Chinese;china;16;Aggressive and brash with bright, penetrating trashiness, for accenting with attack.
sabian;21816;AA;Chinese;china;18;Aggressive and brash with bright, penetrating trashiness, for accenting with attack.
sabian;22016;AA;Chinese;china;20;Aggressive and brash with bright, penetrating trashiness, for accenting with attack.
sabian;21816MB;AA;Metal Chinese;china;18;Hard, direct, lethally loud and cutting Chinese designed to punch through big-volume bands.
sabian;21716CS;AA;Holy China;china;17;Developed with Chad Smith, Holy China is truly a monster of loudness and cut – it’s the loudest cymbal SABIAN produces!
sabian;21916CS;AA;Holy China;china;19;Developed with Chad Smith, Holy China is truly a monster of loudness and cut – it’s the loudest cymbal SABIAN produces!
sabian;22116CS;AA;Holy China;china;21;Developed with Chad Smith, Holy China is truly a monster of loudness and cut – it’s the loudest cymbal SABIAN produces!
sabian;25005;AA;AA Performance Set;SET;;14' Medium Hats, 16' Medium Crash, 20' Medium Ride
sabian;42012X;B8X;Ride;Ride;20;Crisp stick definition, cutting bell, and bright tonal response create a versatile ride
sabian;41811X;B8X;Crash Ride;Crash Ride;18;Blending explosive crash power with full ride response. Great multi-purpose ride.
sabian;42014X;B8X;Rock Ride;Ride;20;Clean and solid sticking with a crisp, solid bell, for total clarity at all volumes.
sabian;41406X;B8X;Thin Crash;Crash;14;Fast, punchy, bright and loud attack makes this a cutting crash.
sabian;41506X;B8X;Thin Crash;Crash;15;Fast, punchy, bright and loud attack makes this a cutting crash.
sabian;41606X;B8X;Thin Crash;Crash;16;Fast, punchy, bright and loud attack makes this a cutting crash.
sabian;41706X;B8X;Thin Crash;Crash;17;Fast, punchy, bright and loud attack makes this a cutting crash.
sabian;41806X;B8X;Thin Crash;Crash;18;Fast, punchy, bright and loud attack makes this a cutting crash.
sabian;41608X;B8X;Medium Crash;Crash;16;Fast, solid response for an explosion of bright tone for bigger, fuller accents.
sabian;41808X;B8X;Medium Crash;Crash;18;Fast, solid response for an explosion of bright tone for bigger, fuller accents.
sabian;41609X;B8X;Rock Crash;Crash;16;Explosive response is fast, full, and powerful, for total presence and penetrating power.
sabian;41809X;B8X;Rock Crash;Crash;18;Explosive response is fast, full, and powerful, for total presence and penetrating power.
sabian;416BCX;B8X;Ballistic Crash;Crash;16;Using an innovative new hammer peen and hammering technique, this thin model delivers funky, aggressive attack, fully capable of creating high-pitched mayhem while remaining musical.
sabian;418BCX;B8X;Ballistic Crash;Crash;18;Using an innovative new hammer peen and hammering technique, this thin model delivers funky, aggressive attack, fully capable of creating high-pitched mayhem while remaining musical.
sabian;41302X;B8X;Hats;Hi Hat;13;Crisp and lively stick and pedal responses are very bright and definite, clean, and penetrating.
sabian;41402X;B8X;Hats;Hi Hat;14;Crisp and lively stick and pedal responses are very bright and definite, clean, and penetrating.
sabian;41403X;B8X;Rock Hats;Hi Hat;14;Heavy pairing is loud, with crisp, cutting stick definition ensuring optimum cut.
sabian;40805X;B8X;Splash;Splash;8;Extremely fast and bright with punchy, high-end cut for fast accents.
sabian;41005X;B8X;Splash;Splash;10;Extremely fast and bright with punchy, high-end cut for fast accents.
sabian;41205X;B8X;Splash;Splash;12;Extremely fast and bright with punchy, high-end cut for fast accents.
sabian;41016X;B8X;china Splash;Splash;10;Reverse-design model, for raw, punchy accents. Mount upside down atop your crash.
sabian;41416X;B8X;Mini Chinese;china;14;A smaller, punchier Chinese design for fast, biting accents.
sabian;41816X;B8X;Chinese;china;18;Bright bite is aggressive and edgy, with a cool, cutting rawness that is immediate and trashy
sabian;45003X;B8X;B8X Performance Set;SET;;14' Hats, 16' Thin Crash, 20' Ride
sabian;45005X;B8X;B8X Effects Pack;SET;;10' Splash, 18' Chinese
sabian;45001X;B8X;B8X First Pack;SET;;13' Hats, 16' Crash
sabian;45011X;B8X;B8X First Pack;SET;;14' Hats, 16' Crash
sabian;45002X;B8X;B8X 2-Pack;SET;;14' Hats, 18' Crash Ride
sabian;45006X;B8X;B8X Complete Set;SET;;10' Splash, 14' Hats, 16' Thin-Crash, 18' Thin-Crash, 18' Chinese, 20' Ride
sabian;32012B;BXPRO;Medium Ride;Ride;20;Crisp stick attack remains bright and audible, with light wash at higher volumes.
sabian;32014B;BXPRO;Rock Ride;Ride;20;Intensely powerful, with distinct metallic stick definition and a crisp, cutting bell.
sabian;31406B;BXPRO;Thin Crash;Crash;14;Quick-response and bright, tight, and focused tonal content add up to cutting accents.
sabian;31606B;BXPRO;Thin Crash;Crash;16;Quick-response and bright, tight, and focused tonal content add up to cutting accents.
