id,brand,code,series,model,kind,size,description,created_at,updated_at
122,istanbul,ch,traditional,china,china,18,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
123,istanbul,ch,traditional,china,china,19,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
124,istanbul,ch,traditional,china,china,20,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
125,istanbul,ch,traditional,china,china,22,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
126,istanbul,thit,traditional,trash hit,effect,8,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
127,istanbul,thit,traditional,trash hit,effect,10,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
128,istanbul,thit,traditional,trash hit,effect,12,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
129,istanbul,thit,traditional,trash hit,effect,14,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
130,istanbul,thit,traditional,trash hit,effect,16,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
131,istanbul,thit,traditional,trash hit,effect,18,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
132,istanbul,thit,traditional,trash hit,effect,20,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
133,istanbul,xr,xist,ride,ride,20,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
134,istanbul,xr,xist,ride,ride,21,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
135,istanbul,xr,xist,ride,ride,22,\N,2017-10-08 09:12:14,2017-10-08 09:12:14
136,istanbul,xr,xist,ride,ride,24,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
137,istanbul,xc,xist,crash,crash,14,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
138,istanbul,xc,xist,crash,crash,15,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
139,istanbul,xc,xist,crash,crash,16,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
140,istanbul,xc,xist,crash,crash,17,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
141,istanbul,xc,xist,crash,crash,18,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
142,istanbul,xc,xist,crash,crash,19,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
143,istanbul,xc,xist,crash,crash,20,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
144,istanbul,xc,xist,crash,crash,22,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
145,istanbul,xh,xist,hi hat,hi hat,13,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
146,istanbul,xh,xist,hi hat,hi hat,14,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
147,istanbul,xh,xist,hi hat,hi hat,15,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
148,istanbul,xsp,xist,splash,splash,8,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
149,istanbul,xsp,xist,splash,splash,10,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
150,istanbul,xsp,xist,splash,splash,12,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
151,istanbul,xch,xist,china,china,16,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
152,istanbul,xch,xist,china,china,18,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
153,istanbul,xrb,xist,xist brilliant,ride,20,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
154,istanbul,xrb,xist,xist brilliant,ride,21,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
155,istanbul,xrb,xist,xist brilliant,ride,22,\N,2017-10-08 09:12:15,2017-10-08 09:12:15
156,istanbul,xrb,xist,xist brilliant,ride,24,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
157,istanbul,xcb,xist,xist brilliant,crash,14,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
158,istanbul,xcb,xist,xist brilliant,crash,15,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
159,istanbul,xcb,xist,xist brilliant,crash,16,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
160,istanbul,xcb,xist,xist brilliant,crash,17,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
161,istanbul,xcb,xist,xist brilliant,crash,18,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
162,istanbul,xcb,xist,xist brilliant,crash,19,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
163,istanbul,xcb,xist,xist brilliant,crash,20,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
164,istanbul,xcb,xist,xist brilliant,crash,22,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
165,istanbul,xhb,xist,xist brilliant,hi hat,13,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
166,istanbul,xhb,xist,xist brilliant,hi hat,14,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
167,istanbul,xhb,xist,xist brilliant,hi hat,15,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
168,istanbul,xspb,xist,xist brilliant,splash,8,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
169,istanbul,xspb,xist,xist brilliant,splash,10,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
170,istanbul,xspb,xist,xist brilliant,splash,12,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
171,istanbul,xchb,xist,xist brilliant,china,16,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
172,istanbul,xchb,xist,xist brilliant,china,18,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
173,istanbul,xmnchb,xist,xist brilliant,china,10,mini china,2017-10-08 09:12:16,2017-10-08 09:12:16
174,istanbul,xmnchb,xist,xist brilliant,china,12,mini china,2017-10-08 09:12:16,2017-10-08 09:12:16
175,istanbul,xtbl,xist,xist brilliant,bell,7,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
176,istanbul,xtbl,xist,xist brilliant,bell,8,\N,2017-10-08 09:12:16,2017-10-08 09:12:16
177,istanbul,xtbl,xist,xist brilliant,bell,9,\N,2017-10-08 09:12:17,2017-10-08 09:12:17
178,istanbul,xion,xist,xist brilliant,crash,16,ion crash,2017-10-08 09:12:17,2017-10-08 09:12:17
179,istanbul,xion,xist,xist brilliant,crash,18,ion crash,2017-10-08 09:12:17,2017-10-08 09:12:17
180,istanbul,xion,xist,xist brilliant,crash,20,ion crash,2017-10-08 09:12:17,2017-10-08 09:12:17
181,istanbul,xion,xist,xist brilliant,crash,22,ion crash,2017-10-08 09:12:17,2017-10-08 09:12:17
182,istanbul,xionh,xist,xist brilliant,hi hat,10,ion hi-hats,2017-10-08 09:12:17,2017-10-08 09:12:17
183,istanbul,xionh,xist,xist brilliant,hi hat,14,ion hi-hats,2017-10-08 09:12:17,2017-10-08 09:12:17
184,istanbul,xionh,xist,xist brilliant,hi hat,16,ion hi-hats,2017-10-08 09:12:17,2017-10-08 09:12:17
185,istanbul,xionsp,xist,xist brilliant,splash,8,ion splash,2017-10-08 09:12:17,2017-10-08 09:12:17
186,istanbul,xionsp,xist,xist brilliant,splash,10,ion splash,2017-10-08 09:12:17,2017-10-08 09:12:17
187,istanbul,xionsp,xist,xist brilliant,splash,12,ion splash,2017-10-08 09:12:17,2017-10-08 09:12:17
188,istanbul,xionch,xist,xist brilliant,china,16,ion china,2017-10-08 09:12:17,2017-10-08 09:12:17
189,istanbul,xionch,xist,xist brilliant,china,18,ion china,2017-10-08 09:12:17,2017-10-08 09:12:17
190,istanbul,xionch,xist,xist brilliant,china,20,ion china,2017-10-08 09:12:17,2017-10-08 09:12:17
191,istanbul,xpwrb,xist,xist brilliant,ride,20,power ride,2017-10-08 09:12:17,2017-10-08 09:12:17
192,istanbul,xpwrb,xist,xist brilliant,ride,22,power ride,2017-10-08 09:12:17,2017-10-08 09:12:17
193,istanbul,xpwcb,xist,xist brilliant,crash,16,power crash,2017-10-08 09:12:17,2017-10-08 09:12:17
194,istanbul,xpwcb,xist,xist brilliant,crash,17,power crash,2017-10-08 09:12:17,2017-10-08 09:12:17
195,istanbul,xpwcb,xist,xist brilliant,crash,18,power crash,2017-10-08 09:12:17,2017-10-08 09:12:17
196,istanbul,xpwcb,xist,xist brilliant,crash,19,power crash,2017-10-08 09:12:17,2017-10-08 09:12:17
197,istanbul,xpwcb,xist,xist brilliant,crash,20,power crash,2017-10-08 09:12:18,2017-10-08 09:12:18
198,istanbul,xpwcb,xist,xist brilliant,crash,22,power crash,2017-10-08 09:12:18,2017-10-08 09:12:18
199,istanbul,xpwhb,xist,xist brilliant,hi hat,13,power hi-hat,2017-10-08 09:12:18,2017-10-08 09:12:18
200,istanbul,xpwhb,xist,xist brilliant,hi hat,14,power hi-hat,2017-10-08 09:12:18,2017-10-08 09:12:18
201,istanbul,xpwhb,xist,xist brilliant,hi hat,15,power hi-hat,2017-10-08 09:12:18,2017-10-08 09:12:18
202,istanbul,xpwspb,xist,xist brilliant,splash,8,power splash,2017-10-08 09:12:18,2017-10-08 09:12:18
203,istanbul,xpwspb,xist,xist brilliant,splash,10,power splash,2017-10-08 09:12:18,2017-10-08 09:12:18
204,istanbul,xpwspb,xist,xist brilliant,splash,12,power splash,2017-10-08 09:12:18,2017-10-08 09:12:18
205,istanbul,xpwchb,xist,xist brilliant,china,16,power china,2017-10-08 09:12:18,2017-10-08 09:12:18
206,istanbul,xpwchb,xist,xist brilliant,china,18,power china,2017-10-08 09:12:18,2017-10-08 09:12:18
207,istanbul,xpwchb,xist,xist brilliant,china,20,power china,2017-10-08 09:12:18,2017-10-08 09:12:18
208,istanbul,xpwchb,xist,xist brilliant,china,22,power china,2017-10-08 09:12:18,2017-10-08 09:12:18
209,istanbul,xmxhb,xist,xist brilliant,hi hat,13,mixed hi-hat,2017-10-08 09:12:18,2017-10-08 09:12:18
210,istanbul,xmxhb,xist,xist brilliant,hi hat,14,mixed hi-hat,2017-10-08 09:12:19,2017-10-08 09:12:19
211,istanbul,xmxhb,xist,xist brilliant,hi hat,15,mixed hi-hat,2017-10-08 09:12:19,2017-10-08 09:12:19
212,istanbul,xrwrb,xist,xist brilliant,ride,20,raw ride,2017-10-08 09:12:19,2017-10-08 09:12:19
213,istanbul,xrwrb,xist,xist brilliant,ride,22,raw ride,2017-10-08 09:12:19,2017-10-08 09:12:19
214,istanbul,sr,custom,sultan,ride,20,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
215,istanbul,sr,custom,sultan,ride,22,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
216,istanbul,sjr,custom,sultan,ride,20,jazz ride,2017-10-08 09:12:19,2017-10-08 09:12:19
217,istanbul,sjr,custom,sultan,ride,21,jazz ride,2017-10-08 09:12:19,2017-10-08 09:12:19
218,istanbul,sjr,custom,sultan,ride,22,jazz ride,2017-10-08 09:12:19,2017-10-08 09:12:19
219,istanbul,sc,custom,sultan,crash,16,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
220,istanbul,sc,custom,sultan,crash,17,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
221,istanbul,sc,custom,sultan,crash,18,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
222,istanbul,sc,custom,sultan,crash,19,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
223,istanbul,sc,custom,sultan,crash,20,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
224,istanbul,sh,custom,sultan,hi hat,13,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
225,istanbul,sh,custom,sultan,hi hat,14,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
226,istanbul,sh,custom,sultan,hi hat,15,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
227,istanbul,ss,custom,sultan,splash,8,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
228,istanbul,ss,custom,sultan,splash,10,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
229,istanbul,ss,custom,sultan,splash,12,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
230,istanbul,sch,custom,sultan,china,16,\N,2017-10-08 09:12:19,2017-10-08 09:12:19
231,istanbul,sch,custom,sultan,china,18,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
232,istanbul,sch,custom,sultan,china,20,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
233,istanbul,sch,custom,sultan,china,22,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
234,istanbul,tr,custom,turk,ride,20,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
235,istanbul,tr,custom,turk,ride,22,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
236,istanbul,tjr,custom,turk,ride,20,jazz ride,2017-10-08 09:12:20,2017-10-08 09:12:20
237,istanbul,tjr,custom,turk,ride,21,jazz ride,2017-10-08 09:12:20,2017-10-08 09:12:20
238,istanbul,tjr,custom,turk,ride,22,jazz ride,2017-10-08 09:12:20,2017-10-08 09:12:20
239,istanbul,tfr,custom,turk,flat ride,18,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
240,istanbul,tfr,custom,turk,flat ride,19,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
241,istanbul,tfr,custom,turk,flat ride,20,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
242,istanbul,tc,custom,turk,crash,16,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
243,istanbul,tc,custom,turk,crash,18,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
244,istanbul,tc,custom,turk,crash,20,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
245,istanbul,th,custom,turk,hi hat,14,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
246,istanbul,th,custom,turk,hi hat,15,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
247,istanbul,tsp,custom,turk,splash,8,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
248,istanbul,tsp,custom,turk,splash,10,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
249,istanbul,tbl,custom,turk,bell,6,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
250,istanbul,tbl,custom,turk,bell,8,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
251,istanbul,tbl,custom,turk,bell,10,\N,2017-10-08 09:12:20,2017-10-08 09:12:20
252,istanbul,tch,custom,turk,china,16,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
253,istanbul,tch,custom,turk,china,18,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
254,istanbul,tch,custom,turk,china,20,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
255,istanbul,tch,custom,turk,china,22,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
256,istanbul,ser,custom,special edition,ride,20,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
257,istanbul,ser,custom,special edition,ride,21,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
258,istanbul,ser,custom,special edition,ride,22,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
259,istanbul,ser,custom,special edition,ride,24,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
260,istanbul,ser,custom,special edition,ride,26,\N,2017-10-08 09:12:21,2017-10-08 09:12:21
